article,article_link,title
,https://economictimes.indiatimes.com/wealth/invest/your-debt-mutual-funds-may-be-in-trouble-what-can-you-do/articleshow/69267888.cms,Your debt mutual funds may be in trouble. What can you do?
,https://economictimes.indiatimes.com/markets/stocks/news/nbfcs-look-for-retail-money-as-mfs-banks-keep-a-tight-rein-on-funds/articleshow/68145538.cms,"NBFCs look for retail money as MFs, banks keep a tight rein on funds"
,https://economictimes.indiatimes.com/markets/stocks/news/ilfs-group-shares-hit-lower-circuits-after-ed-raids/articleshow/68077103.cms,IL&FS group shares hit lower circuits after ED raids
,https://economictimes.indiatimes.com/wealth/invest/ilfs-spv-defaults-if-not-resolved-can-engender-a-systemic-credit-issue/articleshow/67687671.cms,"ILFS SPV Defaults, if not resolved, can engender a systemic credit issue"
,https://economictimes.indiatimes.com/markets/stocks/news/ilfs-group-stocks-rally-up-to-8-on-fund-raising-plans/articleshow/67139501.cms,IL&FS group stocks rally up to 8% on fund raising plans
,https://economictimes.indiatimes.com/industry/banking/finance/banking/ilfs-investment-managers-board-appoints-2-new-additional-directors/articleshow/66965587.cms,IL&FS Investment Managers' board appoints 2 new additional directors
,https://economictimes.indiatimes.com/markets/stocks/news/kill-this-shadow-lenders-toxic-culture-by-dismembering-it/articleshow/66459322.cms,View: Kill IL&FS's toxic culture by dismembering It
,https://economictimes.indiatimes.com/industry/banking/finance/ilfs-investment-managers-non-executive-director-vibhav-kapoor-resigns-from-board/articleshow/66284709.cms,IL&FS Investment Managers' non-executive director Vibhav Kapoor resigns from board
,https://economictimes.indiatimes.com/markets/stocks/news/ilfs-new-board-initiates-austerity-measures/articleshow/66184414.cms,IL&FS' new board initiates austerity measures
,https://economictimes.indiatimes.com/markets/stocks/news/bse-tweaks-circuit-limits-for-ilfs-investment-managers-4-others/articleshow/66057548.cms,"BSE tweaks circuit limits for IL&FS Investment Managers, 4 others"
,https://economictimes.indiatimes.com/markets/stocks/news/share-market-update-nbfcs-trade-mixed-ilfs-investment-managers-jumps-9/articleshow/65960312.cms,Share market update: NBFCs trade mixed; IL&FS Investment Managers jumps 9%
