COMPANYNAME,volume growth,strong performance,bullish,strengthening,gainer,regain momentum,violating,violated,slaps,fine,loss,poor rating,unstable,subdued performance,weakness,bearish,subdued demand,slowed down,lower circuit,nosedive,week low,red flags,regulators,compliance,regulatory compliance,default,diverted,diversion,downgrade ,weakening,postpone,blacklisted,debarred,termination,scrapped,lacklustre,dampened,concerned,earnings drop,promoters have pledged,no funds,cash strapped,loss making,revenue loss,daily losses,mounting losses,vacate,per cent fall,net down,servers down,operations hit,stressed assets,not cooperating,non compliant,non cooperating,sell this business,sell its business,pare its debt,pare this debt,below investment grade,downgrade,below the investment grade,no hike in power tariff,profit slump,worst day,tariff not hiked,lowest level
INDIABULLS VENTURES LTD.,0,1,2,1,5,0,0,0,0,23,49,0,0,0,0,0,0,0,0,0,2,0,3,0,0,1,0,0,0,0,2,0,23,5,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WIPRO,0,1,2,4,8,0,3,3,0,22,47,0,0,0,1,2,0,0,0,2,0,0,4,0,0,1,0,0,1,4,3,1,12,12,0,0,4,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1
BANK OF BARODA,0,0,1,0,7,0,3,3,0,15,52,0,1,0,1,2,0,0,0,1,0,0,2,1,0,3,0,0,0,3,1,0,27,4,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BHARTI AIRTEL,0,0,5,3,11,0,3,1,0,24,58,0,0,0,4,2,0,0,2,3,1,0,9,1,0,1,0,0,0,1,6,0,12,16,1,2,2,16,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MPHASIS LTD.,1,0,4,11,4,0,3,3,0,29,58,0,1,0,2,4,0,2,0,7,2,0,6,0,0,3,0,0,1,12,1,0,11,20,3,1,7,34,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1
BHARAT PETROLEUM CORPORATION,0,0,1,2,11,0,0,0,0,14,48,0,0,0,3,1,0,0,0,0,4,0,0,1,0,0,0,0,0,2,1,0,9,3,0,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CRISIL LTD.,0,0,0,3,0,0,4,4,0,14,58,0,1,0,1,1,0,0,0,5,0,0,10,1,0,16,1,1,6,3,10,0,7,19,1,0,6,34,0,0,1,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
IDBI BANK,2,0,5,2,2,0,7,8,0,23,65,0,0,0,1,5,0,0,1,5,3,0,17,2,0,0,2,0,2,6,5,0,9,23,1,0,5,25,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
ICICI BANK LTD.,1,0,1,3,8,0,3,3,0,15,47,0,0,0,1,2,0,0,0,5,1,0,8,1,0,1,0,1,3,9,1,0,14,4,2,0,8,25,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1
ATULYA123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QUANTIPHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
